,bid,footprint_area,PV_cap_MW,number_of_cars,car_demand_daily_per_car_MW,car_demand_daily_total_MW,charging_station_power_MW,charging_station_power_total_MW,,use,free_walls,lat,lon,dist_to_heat_source,year_class,size_class,floors,storey_area,area_corr_factor,heated_area,window_area,dwellings,dwelling_size,occupants,ref_level_roof,ref_level_wall,ref_level_floor,ref_level_window,U,V,C,Tau,Tset,act_start,act_end,hw_demand_day,hw_tank_cap
46,17.049.000.000.000.000,170.49,4,0.00515,0.0206,0.011,0.044,,3,4,48.207.999.999.999.900,11.561,0,2,0,2,34.099.000.000.000.000,0.84,28.643.000.000.000.000,51.789.999.999.999.900,2,143.22,7,2,2,2,1,30.992.000.000.000.000,73.040.000.000.000.000,73074644.5,190813.22,18,0,23,0.16,0.24,
47,92.540.000.000.000.000,92.54,3,0.00515,0.01545,0.011,0.033,,3,4,48.216.000.000.000.000,11.487,0,2,1,2,18.508.000.000.000.000,0.84,155.47,33.159.999.999.999.900,2,77.739.999.999.999.900,6,2,1,2,2,25.666.000.000.000.000,39.640.000.000.000.000,31664801.43,10.686.735.000.000.000,20,0,23,0.13,0.2,
48,61.079.999.999.999.900,61.08,1,0.00515,0.00515,0.011,0.011,,3,4,48.201.999.999.999.900,11.538,0,2,1,2,122.16,0.84,102.61,21.890.000.000.000.000,1,102.61,1,1,1,2,1,22.531.999.999.999.900,26.170.000.000.000.000,20.899.696.030.000.000,83.104.919.999.999.900,21,0,23,0.06,0.08,
49,93.260.000.000.000.000,93.26,3,0.00515,0.01545,0.011,0.033,,3,4,48.216.000.000.000.000,11.489.000.000.000.000,0,2,1,2,18.652.000.000.000.000,0.84,15.668.000.000.000.000,33.420.000.000.000.000,2,78.340.000.000.000.000,5,1,1,1,2,29.389.999.999.999.900,39.950.000.000.000.000,31910702.41,95.582.960.000.000.000,21,0,23,0.04,0.07,
50,84.140.000.000.000.000,84.14,1,0.00515,0.00515,0.011,0.011,,3,4,48.203.000.000.000.000,11.538,0,2,1,2,16.827.000.000.000.000,0.84,14.134.999.999.999.900,30.149.999.999.999.900,1,14.134.999.999.999.900,1,2,1,1,1,27.856.999.999.999.900,36.039.999.999.999.900,28.788.923.870.000.000,91.505.869.999.999.900,19,0,23,0.1,0.15,
51,66.409.999.999.999.900,66.41,1,0.00515,0.00515,0.011,0.011,,3,4,48.213.999.999.999.900,Nov 49,0,2,1,2,132.81,0.84,111.56,23.800.000.000.000.000,1,111.56,1,2,1,1,1,219.87,28.449.999.999.999.900,22.722.475.030.000.000,91.505.869.999.999.900,18,0,23,0.04,0.06,
52,51.229.999.999.999.900,51.23,1,0.00515,0.00515,0.011,0.011,,3,4,48.216.000.000.000.000,11.544,0,2,1,2,10.245.999.999.999.900,0.84,86.060.000.000.000.000,18.359.999.999.999.900,1,86.060.000.000.000.000,1,1,1,1,1,18.897.999.999.999.900,21.949.999.999.999.900,17.528.580.670.000.000,83.104.919.999.999.900,22,0,23,0.06,0.08,
53,54.875.999.999.999.900,548.76,3,0.00515,0.01545,0.011,0.033,,3,4,48.201.000.000.000.000,11.538,0,2,1,2,1097.52,0.84,92.191.999.999.999.900,19.663.999.999.999.900,2,46.095.999.999.999.900,5,2,1,2,1,18.168.900.000.000.000,235.09,18.776.801.130.000.000,91.505.869.999.999.900,19,0,23,10.700.000.000.000.000,16.000.000.000.000.000,
54,92.5,92.5,5,0.00515,0.02575,0.011,0.055,,3,4,48.216.000.000.000.000,11.487,0,2,1,2,185,0.84,15.540.000.000.000.000,33.149.999.999.999.900,2,77.700.000.000.000.000,10,1,2,1,1,19.793.000.000.000.000,39.630.000.000.000.000,31.649.960.030.000.000,13.323.170.999.999.900,21,0,23,0.09,0.14,
55,14.599.000.000.000.000,145.99,3,0.00515,0.01545,0.011,0.033,,3,4,48.219.000.000.000.000,11.555,0,2,2,3,43.795.999.999.999.900,0.84,36.788.999.999.999.900,55.090.000.000.000.000,4,91.969.999.999.999.900,6,2,1,2,2,56.454.999.999.999.900,62.539.999.999.999.900,61.114.201.079.999.900,97.456.990.000.000.000,18,0,23,0.2,0.29,
56,19.497.999.999.999.900,194.98,5,0.00515,0.02575,0.011,0.055,,3,4,48.215.000.000.000.000,11.552,0,2,2,3,58.495.000.000.000.000,0.84,49.136.000.000.000.000,73.569.999.999.999.900,5,98.269.999.999.999.900,9,1,1,1,2,95.629.999.999.999.900,83.530.000.000.000.000,81.625.380.170.000.000,78.498.839.999.999.900,20,0,23,0.18,0.27,
57,125.61,125.61,3,0.00515,0.01545,0.011,0.033,,3,4,48.215.000.000.000.000,11.489.000.000.000.000,0,2,2,3,37.683.999.999.999.900,0.84,31.654.000.000.000.000,47.399.999.999.999.900,3,10.551.000.000.000.000,6,2,2,1,1,23.252.000.000.000.000,53.810.000.000.000.000,52584446.43,183649.44,20,0,23,0.27,0.41,
